"id","name","description"
"incoterm_01012100","01012100","Čistokrvni rasplodni konji"
"incoterm_01012910","01012910","Konji za klanje"
"incoterm_01012990","01012990","Živi konji (osim čistokrvnih za rasplod i onih za klanje)"
"incoterm_01013000","01013000","Živi magarci"
"incoterm_01019000","01019000","Žive mazge i mule"
"incoterm_01022110","01022110","Čistokrvne rasplodne junice (ženska goveda koja se nikada nisu telila)"
"incoterm_01022130","01022130","Čistokrvne rasplodne krave (osim junica)"
"incoterm_01022190","01022190","Čistokrvna rasplodna goveda (osim junica i krava)"
"incoterm_01022905","01022905","Živa goveda, podvrste Bibos ili podvrste Poephagus (osim čistokrvnih za rasplod)"
"incoterm_01022910","01022910","Živa goveda, domaće vrste, mase do uključivo 80 kg (osim čistokrvnih rasplodnih životinja)"
"incoterm_01022921","01022921","Domaća goveda, mase od 80 kg do uključivo 160 kg, za klanje"
"incoterm_01022929","01022929","Živa goveda, domaće vrste, mase od 80 kg do uključivo 160 kg (osim životinja za klanje i čistokrvnih rasplodnih životinja)"
"incoterm_01022941","01022941","Domaća goveda, mase veće od 160 kg do uključivo 300 kg, za klanje"
"incoterm_01022949","01022949","Živa goveda, domaće vrste, mase od 160 kg do uključivo 300 kg (osim životinja za klanje i čistokrvnih rasplodnih životinja)"
"incoterm_01022951","01022951","Junice, ženska goveda koja se nikada nisu telila, mase veće od 300 kg, za klanje"
"incoterm_01022959","01022959","Žive junice, ženska goveda koja se nikada nisu telila, mase veće od 300 kg (osim životinja za klanje i čistokrvnih rasplodnih životinja)"
"incoterm_01022961","01022961","Krave, mase veće od 300 kg, za klanje (osim junica)"
"incoterm_01022969","01022969","Žive krave, mase veće od 300 kg (osim životinja za klanje, junica i čistokrvnih rasplodnih životinja)"
"incoterm_01022991","01022991","Živa domaća goveda, mase veće od 300 kg, za klanje (osim junica i krava)"
"incoterm_01022999","01022999","Živa domaća goveda, mase veće od 300 kg, osim za klanje (osim junica i krava)"
"incoterm_01023100","01023100","Čistokrvni rasplodni bivoli"
"incoterm_01023910","01023910","Bivoli ostali, domaće vrste, osim čistokrvnih rasplodnih bivola"
"incoterm_01023990","01023990","Živi bivoli ostali, osim čistokrvnih rasplodnih bivola i bivola domaće vrste"
"incoterm_01029020","01029020","Čistokrvne rasplodne ostale vrsta goveda"
"incoterm_01029091","01029091","Živa goveda domaće vrste, osim čistokrvnih rasplodnih goveda i bivola"
"incoterm_01029099","01029099","Živa goveda osim domaće vrste, ostala, osim čistokrvnih rasplodnih goveda i bivola"
"incoterm_01031000","01031000","Čistokrvne rasplodne svinje"
"incoterm_01039110","01039110","Domaće svinje, mase manje od 50 kg (osim čistokrvnih rasplodnih životinja)"
"incoterm_01039190","01039190","Žive svinje, ostale sorte, mase manje od 50 kg"
"incoterm_01039211","01039211","Žive domaće svinje, koje su barem jednom oprasile, mase veće od uključivo 160 kg (osim čistokrvnih rasplodnih životinja)"
"incoterm_01039219","01039219","Žive domaće svinje, mase veće od uključivo 50 kg (osim svinja koje su barem jednom oprasile mase veće od uključivo 160 kg i čistokrvne rasplodne životinje)"
"incoterm_01039290","01039290","Žive svinje, ostale sorte, mase veće od uključivo 50 kg"
"incoterm_01041010","01041010","Čistokrvne ovce za rasplod"
"incoterm_01041030","01041030","Živa janjad, ovce starosti do jedne godine (osim čistokrvnih rasplodnih životinja)"
"incoterm_01041080","01041080","Žive ovce (osim janjadi starosti do jedne godine i čistokrvnih rasplodnih životinja)"
"incoterm_01042010","01042010","Čistokrvne rasplodne koze"
"incoterm_01042090","01042090","Žive koze (osim čistokrvnih rasplodnih životinja)"
